province,city,district
河北,石家庄,"新乐,晋州,藁城,辛集,赵县,元氏,平山,无极,赞皇,深泽,高邑,灵寿,行唐,栾城,正定,井陉,裕华,井陉,新华,桥西,桥东,长安,鹿泉"
河北,唐山,"迁安,遵化,唐海,玉田,迁西,乐亭,滦南,滦县,丰润,丰南,开平,古冶,路北,路南"
河北,秦皇岛,"卢龙,抚宁,昌黎,青龙,北戴河,山海关,海港"
河北,邯郸,"成安,临漳,邯郸,峰峰,复兴,丛台,邯山,武安,曲周,魏县,馆陶,广平,鸡泽,邱县,永年,肥乡,磁县,涉县,大名"
河北,邢台,"沙河,南宫,临西,清河,威县,平乡,广宗,新河,巨鹿,宁晋,南和,任县,隆尧,柏乡,内丘,临城,邢台,桥西,桥东"
河北,保定,"高碑店,安国,定州,涿州,雄县,博野,顺平,蠡县,曲阳,易县,安新,望都,涞源,容城,高阳,唐县,定兴,徐水,阜平,涞水,清苑,满城"
河北,张家口,"宣化,下花园,宣化,桥西,桥东,崇礼,赤城,涿鹿,怀来,万全,怀安,阳原,蔚县,尚义,沽源,康保,张北"
河北,承德,"围场,宽城,丰宁,隆化,滦平,平泉,兴隆,承德,鹰手营子,双滦,双桥"
河北,沧州,"盐山,海兴,东光,青县,沧县,运河,新华,河间,黄骅,任丘,泊头,孟村,献县,吴桥,南皮,肃宁"
河北,廊坊,"三河,霸州,大厂,文安,大城,香河,永清,固安,广阳,安次"
河北,衡水,"深州,冀州,阜城,景县,故城,安平,饶阳,武强,武邑,枣强,桃城"
山西,太原,"古交,娄烦,阳曲,清徐,晋源,万柏林,尖草坪,杏花岭,迎泽,小店"
山西,大同,"大同,左云,浑源,灵丘,广灵,天镇,阳高,新荣"
山西,阳泉,"盂县,平定"
山西,长治,"潞城,沁源,沁县,武乡,长子,壶关,黎城,平顺,屯留,襄垣,长治"
山西,晋城,"高平,泽州,陵川,阳城,沁水"
山西,朔州,"怀仁,右玉,应县,山阴,平鲁,朔城"
山西,晋中,"寿阳,昔阳,和顺,左权,榆社,榆次,介休,灵石,平遥,祁县,太谷"
山西,运城,"河津,永济,芮城,平陆,夏县,垣曲,绛县,新绛,稷山,闻喜,万荣,临猗,盐湖"
山西,忻州,"保德,河曲,岢岚,五寨,神池,静乐,宁武,繁峙,代县,五台,定襄,忻府,原平,偏关"
山西,临汾,"霍州,侯马,汾西,蒲县,永和,隰县,大宁,乡宁,吉县,浮山,安泽,古县,洪洞,襄汾,翼城,曲沃,尧都"
山西,吕梁,"交城,文水,离石,汾阳,孝义,交口,中阳,方山,岚县,石楼,柳林,临县,兴县"
内蒙古,呼和浩特,"武川,清水河,和林格尔,托克托,土默特左旗,赛罕,玉泉,回民,新城"
内蒙古,包头,"达尔罕茂明安联合旗,固阳,土默特右旗,九原,白云,石拐,青山,昆都仑,东河"
内蒙古,乌海,"海勃湾,乌达,海南"
内蒙古,赤峰,"敖汉旗,宁城,喀喇沁旗,翁牛特旗,克什克腾旗,林西,巴林右旗,巴林左旗,阿鲁科尔沁旗,松山,元宝山,红山"
内蒙古,通辽,"霍林郭勒,扎鲁特旗,奈曼旗,库伦旗,开鲁,科尔沁左翼后旗,科尔沁左翼中旗,科尔沁"
内蒙古,鄂尔多斯,"乌审旗,杭锦旗,鄂托克旗,鄂托克前旗,准格尔旗,达拉特旗,东胜,伊金霍洛旗"
内蒙古,呼伦贝尔,"根河,额尔古纳,扎兰屯,牙克石,满洲里,新巴尔虎右旗,新巴尔虎左旗,陈巴尔虎旗,鄂温克族自治旗,鄂伦春自治旗,莫力达瓦达斡尔族自治旗,阿荣旗,海拉尔"
内蒙古,巴彦淖尔,"杭锦后旗,乌拉特后旗,乌拉特中旗,乌拉特前旗,磴口,五原,临河"
内蒙古,乌兰察布,"察哈尔右翼中旗,察哈尔右翼前旗,凉城,兴和,商都,化德,卓资,集宁,丰镇,四子王旗,察哈尔右翼后旗"
内蒙古,兴安盟,"突泉,扎赉特旗,科尔沁右翼中旗,科尔沁右翼前旗,阿尔山,乌兰浩特"
内蒙古,锡林郭勒盟,"多伦,正蓝旗,正镶白旗,镶黄旗,太仆寺旗,西乌珠穆沁旗,东乌珠穆沁旗,苏尼特右旗,苏尼特左旗,阿巴嘎旗,锡林浩特,二连浩特"
内蒙古,阿拉善盟,"额济纳旗,阿拉善右旗,阿拉善左旗"
辽宁,沈阳,"东陵,苏家屯,铁西,皇姑,大东,沈河,和平,新民,法库,康平,辽中,于洪,沈北"
辽宁,大连,"庄河,普兰店,瓦房店,长海,金州,旅顺口,甘井子,沙河口,西岗,中山"
辽宁,鞍山,"海城,岫岩,台安,千山,立山,铁西,铁东"
辽宁,抚顺,"新宾,抚顺,顺城,望花,东洲,新抚,清原"
辽宁,本溪,"桓仁,明山,本溪,溪湖,南芬,平山"
辽宁,丹东,"凤城,东港,宽甸,振安,振兴,元宝"
辽宁,锦州,"北镇,凌海,义县,黑山,太和,凌河,古塔"
辽宁,营口,"大石桥,盖州,老边,鲅鱼圈,西区,站前"
辽宁,阜新,"太平,新邱,海州,彰武,阜新,细河,清河门"
辽宁,辽阳,"灯塔,辽阳,太子河,弓长岭,宏伟,文圣,白塔"
辽宁,盘锦,"盘山,大洼,兴隆台,双台子"
辽宁,铁岭,"开原,调兵山,昌图,西丰,铁岭,清河,银州"
辽宁,朝阳,"北票,喀喇沁左翼,建平,朝阳,龙城,双塔,凌源"
辽宁,葫芦岛,"兴城,建昌,绥中,南票,龙港,连山"
吉林,长春,"德惠,榆树,九台,农安,双阳,绿园,二道,朝阳,宽城,南关"
吉林,吉林,"磐石,舒兰,桦甸,蛟河,永吉,丰满,船营,龙潭,昌邑"
吉林,四平,"铁东,铁西,双辽,公主岭,伊通,梨树"
吉林,辽源,"东辽,东丰,西安,龙山"
吉林,通化,"集安,梅河口,柳河,辉南,通化,二道江,东昌"
吉林,白山,"临江,长白,靖宇,抚松,江源,八道江"
吉林,松原,"扶余,乾安,长岭,前郭尔罗斯,宁江"
吉林,白城,"洮北,大安,洮南,通榆,镇赉"
吉林,延边,"安图,汪清,和龙,龙井,珲春,敦化,图们,延吉"
黑龙江,哈尔滨,"五常,尚志,双城,延寿,通河,木兰,巴彦,宾县,方正,依兰,阿城,呼兰,香坊,松北,平房,道外,南岗,道里"
黑龙江,齐齐哈尔,"讷河,拜泉,克东,甘南,克山,泰来,富裕,依安,龙江,梅里斯,碾子山,富拉尔基,昂昂溪,铁锋,建华,龙沙"
黑龙江,鸡西,"密山,虎林,鸡东,麻山,城子河,梨树,滴道,恒山,鸡冠"
黑龙江,鹤岗,"萝北,兴山,东山,兴安,南山,工农,向阳,绥滨"
黑龙江,双鸭山,"饶河,宝清,友谊,集贤,宝山,四方台,岭东,尖山"
黑龙江,大庆,"杜尔伯特,林甸,肇源,肇州,大同,红岗,让胡路,龙凤,萨尔图"
黑龙江,伊春,"汤旺河,乌马河,五营,金山屯,美溪,新青,翠峦,西林,友好,南岔,伊春,铁力市,嘉荫,上甘岭,红星,乌伊岭,带岭"
黑龙江,佳木斯,"富锦,同江,抚远,汤原,桦川,桦南,东风,前进,向阳"
黑龙江,七台河,"勃利,茄子河,桃山,新兴"
黑龙江,牡丹江,"宁安,海林,绥芬河,林口,东宁,西安,爱民,阳明,东安,穆棱"
黑龙江,黑河,"五大连池,北安,孙吴,逊克,嫩江,爱辉"
黑龙江,绥化,"海伦,肇东,安达,绥棱,明水,庆安,青冈,兰西,望奎,北林"
黑龙江,大兴安岭,"漠河,塔河,呼玛,呼中,新林,松岭,加格达奇"
江苏,南京,"高淳,溧水,六合,江宁,雨花台,栖霞,浦口,下关,鼓楼,建邺,秦淮,白下,玄武"
江苏,无锡,"锡山,北塘,南长,崇安,宜兴,江阴,滨湖,惠山"
江苏,徐州,"邳州,新沂,睢宁,铜山,沛县,丰县,泉山,贾汪,九里,云龙,鼓楼"
江苏,常州,"金坛,溧阳,武进,新北,戚墅堰,钟楼,天宁"
江苏,苏州,"太仓,吴江,昆山,张家港,常熟,相城,吴中,虎丘,金阊,平江,沧浪"
江苏,南通,"通州,如皋,启东,如东,海安,港闸,崇川,海门"
江苏,连云港,"灌南,灌云,东海,赣榆,海州,新浦,连云"
江苏,淮安,"金湖,盱眙,洪泽,涟水,清浦,淮阴,楚州,清河"
江苏,盐城,"大丰,东台,建湖,射阳,阜宁,滨海,响水,盐都,亭湖"
江苏,扬州,"维扬,邗江,广陵,江都,高邮,仪征,宝应"
江苏,镇江,"句容,扬中,丹阳,丹徒,润州,京口"
江苏,泰州,"姜堰,泰兴,靖江,兴化,高港,海陵"
江苏,宿迁,"泗洪,泗阳,沭阳,宿豫,宿城"
浙江,杭州,"萧山,滨江,西湖,拱墅,江干,下城,上城,临安,富阳,建德,淳安,桐庐,余杭"
浙江,宁波,"奉化,慈溪,余姚,宁海,象山,鄞州,镇海,北仑,江北,江东,海曙"
浙江,温州,"乐清,瑞安,泰顺,文成,苍南,平阳,永嘉,洞头,瓯海,龙湾,鹿城"
浙江,嘉兴,"南湖,桐乡,平湖,海宁,海盐,嘉善,秀洲"
浙江,湖州,"安吉,长兴,德清,南浔,吴兴"
浙江,绍兴,"嵊州,上虞,诸暨,新昌,绍兴,越城"
浙江,金华,"永康,东阳,义乌,兰溪,磐安,浦江,武义,金东,婺城"
浙江,衢州,"衢江,柯城,江山,龙游,开化,常山"
浙江,舟山,"嵊泗,岱山,普陀,定海"
浙江,台州,"临海,温岭,仙居,天台,路桥,三门,黄岩,玉环,椒江"
浙江,丽水,"龙泉,景宁,庆元,云和,松阳,遂昌,缙云,青田,莲都"
安徽,合肥,"包河,蜀山,庐阳,瑶海,肥西,肥东,长丰"
安徽,芜湖,"南陵,繁昌,芜湖,三山,鸠江,弋江,镜湖"
安徽,蚌埠,"固镇,五河,怀远,淮上,禹会,蚌山,龙子湖"
安徽,淮南,"凤台,潘集,八公山,谢家集,田家庵,大通"
安徽,马鞍山,"当涂,雨山,花山,金家庄"
安徽,淮北,"濉溪,烈山,相山,杜集"
安徽,铜陵,"铜陵,狮子山,铜官山"
安徽,安庆,"桐城,岳西,望江,宿松,太湖,潜山,枞阳,怀宁,宜秀,大观,迎江"
安徽,黄山,"祁门,黟县,休宁,歙县,徽州,黄山,屯溪"
安徽,滁州,"南谯,琅琊,明光,天长,凤阳,定远,全椒,来安"
安徽,阜阳,"界首,颍上,阜南,太和,临泉,颍泉,颍东,颍州"
安徽,宿州,"泗县,灵璧,萧县,砀山,埇桥"
安徽,巢湖,"和县,含山,无为,庐江,居巢"
安徽,六安,"霍邱,寿县,裕安,金安,霍山,金寨,舒城"
安徽,亳州,"利辛,蒙城,涡阳,谯城"
安徽,池州,"青阳,石台,东至,贵池"
安徽,宣城,"宁国,旌德,绩溪,泾县,广德,郎溪,宣州"
福建,福州,"永泰,闽清,罗源,连江,闽侯,晋安,马尾,仓山,台江,鼓楼,长乐,福清,平潭"
福建,厦门,"翔安,同安,集美,湖里,海沧,思明"
福建,莆田,"仙游,秀屿,荔城,涵江,城厢"
福建,三明,"永安,建宁,泰宁,将乐,沙县,尤溪,大田,宁化,三元,清流,梅列,明溪"
福建,泉州,"泉港,洛江,丰泽,鲤城,南安,晋江,石狮,金门,德化,永春,安溪,惠安"
福建,漳州,"龙海,华安,平和,南靖,东山,长泰,诏安,漳浦,云霄,龙文,芗城"
福建,南平,"建阳,建瓯,武夷山,邵武,政和,松溪,光泽,浦城,顺昌,延平"
福建,龙岩,"漳平,连城,武平,上杭,永定,长汀,新罗"
福建,宁德,"福鼎,福安,柘荣,周宁,寿宁,屏南,古田,霞浦,蕉城"
江西,南昌,"进贤,安义,新建,南昌,青山湖,湾里,青云谱,西湖,东湖"
江西,景德镇,"乐平,浮梁,珠山,昌江"
江西,萍乡,"芦溪,上栗,莲花,湘东,安源"
江西,九江,"瑞昌,彭泽,湖口,都昌,星子,德安,永修,修水,武宁,九江,浔阳,庐山"
江西,新余,"分宜,渝水"
江西,鹰潭,"贵溪,余江,月湖"
江西,赣州,"上犹,大余,信丰,赣县,章贡,南康,瑞金,石城,寻乌,会昌,兴国,于都,宁都,全南,定南,龙南,安远,崇义"
江西,吉安,"井冈山,永新,安福,万安,遂川,泰和,永丰,新干,峡江,吉水,吉安,青原,吉州"
江西,宜春,"上高,万载,奉新,袁州,高安,樟树,丰城,铜鼓,靖安,宜丰"
江西,抚州,"广昌,东乡,资溪,金溪,宜黄,乐安,崇仁,南丰,黎川,南城,临川"
江西,上饶,"横峰,铅山,玉山,广丰,上饶,信州,德兴,婺源,万年,鄱阳,余干,弋阳"
山东,济南,"章丘,商河县,济阳县,平阴县,长清,历城,天桥,槐荫,历下"
山东,青岛,"城阳,李沧,崂山,黄岛,四方,莱西,胶南,平度,即墨,胶州"
山东,淄博,"沂源,高青,桓台,周村,临淄,博山,张店,淄川"
山东,枣庄,"滕州,山亭,台儿庄,峄城,薛城"
山东,东营,"广饶,利津,垦利,河口,东营"
山东,烟台,"莱山,牟平,福山,芝罘,海阳,栖霞,招远,蓬莱,莱州,莱阳,龙口,长岛"
山东,潍坊,"昌邑,高密,安丘,寿光,诸城,青州,昌乐,临朐,奎文,坊子,寒亭,潍城"
山东,济宁,"曲阜,梁山,泗水,汶上,嘉祥,金乡,鱼台,微山,任城,邹城,兖州"
山东,泰安,"肥城,新泰,东平,宁阳,岱岳,泰山"
山东,威海,"乳山,荣成,文登,环翠"
山东,日照,"莒县,五莲,岚山,东港"
山东,莱芜,"钢城,莱城"
山东,临沂,"平邑,费县,苍山,沂水,郯城,沂南,河东,罗庄,兰山,临沭,蒙阴,莒南"
山东,德州,"禹城,乐陵,武城,夏津,平原,齐河,临邑,庆云,宁津,陵县,德城"
山东,聊城,"临清,高唐,冠县,东阿,茌平,莘县,阳谷,东昌府"
山东,滨州,"邹平,博兴,沾化,无棣,阳信,惠民,滨城"
山东,菏泽,"东明,定陶,鄄城,郓城,巨野,成武,单县,曹县,牡丹"
河南,郑州,"登封,新郑,新密,荥阳,巩义,中牟,金水,惠济,管城,上街,二七区,中原区"
河南,开封,"兰考,开封,尉氏,通许,杞县,金明,禹王台,鼓楼区,顺河,龙亭"
河南,洛阳,"偃师,伊川,洛宁,宜阳,汝阳,嵩县,栾川,新安,孟津,洛龙,吉利区,涧西,瀍河,西工"
河南,平顶山,"汝州,舞钢,郏县,鲁山,叶县,宝丰,湛河,石龙,卫东,新华区"
河南,安阳,"龙安,殷都,北关,文峰,林州,内黄,滑县,汤阴,安阳"
河南,鹤壁,"淇县,浚县,淇滨,山城,鹤山"
河南,新乡,"辉县,卫辉,长垣,封丘,延津,原阳,获嘉,新乡,牧野,凤泉,卫滨,红旗"
河南,焦作,"武陟,博爱,修武,山阳,马村,中站,解放,孟州,沁阳,济源市,温县"
河南,濮阳,"濮阳,台前,范县,南乐,清丰,华龙"
河南,许昌,"长葛,禹州,襄城,鄢陵,许昌,魏都"
河南,漯河,"临颍,舞阳,召陵,郾城,源汇"
河南,三门峡,"灵宝,义马,卢氏,陕县,渑池,湖滨"
河南,南阳,"邓州,桐柏,新野,唐河,社旗,淅川,内乡,镇平,西峡,方城,南召,卧龙,宛城"
河南,商丘,"永城,夏邑,虞城,柘城,宁陵,睢县,民权,睢阳,梁园"
河南,信阳,"潢川,固始,商城,新县,光山,罗山,平桥,浉河,息县,淮滨"
河南,周口,"项城,鹿邑,太康,淮阳,郸城,沈丘,商水,西华,扶沟,川汇"
河南,驻马店,"新蔡,泌阳,遂平,确山,汝南,正阳,平舆,上蔡,西平,驿城"
湖北,武汉,"汉南,东西湖,洪山,青山,武昌,汉阳,硚口,江汉,江岸,新洲,黄陂,江夏,蔡甸"
湖北,黄石,"大冶,阳新,铁山,下陆,西塞山,黄石港"
湖北,十堰,"丹江口,房县,竹溪,竹山,郧西,郧县,张湾,茅箭"
湖北,宜昌,"宜都,五峰,长阳,秭归,兴山,远安,夷陵,猇亭,点军,伍家岗,西陵,枝江,当阳"
湖北,襄樊,"宜城,枣阳,老河口,保康,谷城,南漳,襄阳,樊城,襄城"
湖北,鄂州,"鄂城,华容,梁子湖"
湖北,荆门,"钟祥,沙洋,京山,掇刀,东宝"
湖北,孝感,"汉川,安陆,应城,云梦,大悟,孝昌,孝南"
湖北,荆州,"沙市,松滋,洪湖,石首,江陵,监利,公安,荆州"
湖北,黄冈,"武穴,麻城,黄梅,蕲春,浠水,英山,罗田,红安,团风,黄州"
湖北,咸宁,"赤壁,通山,崇阳,通城,嘉鱼,咸安"
湖北,随州,"广水,曾都"
湖北,恩施,"巴东,建始,利川,恩施,鹤峰,来凤,咸丰,宣恩"
湖北,神农架,
湖北,天门,
湖北,潜江,
湖北,仙桃,
湖南,长沙,"浏阳,宁乡,望城,长沙,雨花,开福,岳麓,天心,芙蓉"
湖南,株洲,"醴陵,炎陵,茶陵,攸县,株洲,天元,石峰,芦淞,荷塘"
湖南,湘潭,"湘潭,岳塘,雨湖,韶山,湘乡"
湖南,衡阳,"常宁,耒阳,祁东,衡东,衡山,衡南,衡阳,南岳,蒸湘,石鼓,雁峰,珠晖"
湖南,邵阳,"城步,新宁,绥宁,洞口,隆回,邵阳,新邵,邵东,北塔,大祥,双清,武冈"
湖南,岳阳,"临湘,汨罗,平江,湘阴,华容,岳阳,君山,云溪,岳阳楼"
湖南,常德,"桃源,临澧,澧县,汉寿,安乡,鼎城,武陵,津市市,石门"
湖南,张家界,"桑植,慈利,武陵源,永定"
湖南,益阳,"沅江,安化,桃江,南县,赫山,资阳"
湖南,郴州,"资兴,安仁,桂东,汝城,临武,嘉禾,永兴,宜章,桂阳,苏仙,北湖"
湖南,永州,"双牌,东安,祁阳,冷水滩,零陵,江华,新田,蓝山,宁远,江永,道县"
湖南,怀化,"洪江,通道,靖州,芷江,新晃,麻阳,会同,溆浦,辰溪,沅陵,中方,鹤城"
湖南,娄底,"涟源,冷水江,新化,双峰,娄星"
湖南,湘西,"永顺,古丈,保靖,花垣,凤凰,泸溪,吉首,龙山"
广东,广州,"从化,增城,萝岗,南沙,花都,番禺,黄埔,白云,天河,海珠,越秀,荔湾"
广东,韶关,"南雄,乐昌,新丰县,乳源,翁源,仁化,始兴,曲江,浈江,武江"
广东,深圳,"盐田,龙岗,宝安,南山,福田,罗湖"
广东,珠海,"金湾,斗门,香洲"
广东,汕头,"南澳,澄海,潮南,潮阳,濠江,金平,龙湖"
广东,佛山,"高明,三水,顺德,南海,禅城"
广东,江门,"恩平,鹤山,开平,台山,新会,江海,蓬江"
广东,湛江,"遂溪,麻章,坡头,霞山,赤坎,吴川,雷州,廉江,徐闻"
广东,茂名,"信宜,化州,高州,电白,茂港,茂南"
广东,肇庆,"四会,高要,德庆,封开,怀集,广宁,鼎湖,端州"
广东,惠州,"龙门,惠东,博罗,惠阳,惠城"
广东,梅州,"蕉岭,平远,五华,丰顺,大埔,梅县,梅江,兴宁"
广东,汕尾,"陆丰,陆河,海丰"
广东,河源,"东源,和平,连平,龙川,紫金,源城"
广东,阳江,"阳春,阳东,阳西,江城"
广东,清远,"连州,英德,清新,连南,连山,阳山县,佛冈,清城"
广东,潮州,"饶平,潮安,湘桥"
广东,揭阳,"普宁,惠来,揭西,揭东,榕城"
广东,云浮,"罗定,云安,郁南,新兴,云城"
广西,南宁,"横县,宾阳,上林,马山,隆安,武鸣,邕宁,良庆,西乡塘,江南,青秀,兴宁"
广西,柳州,"鹿寨,柳城,柳江,柳北,柳南,鱼峰,三江,融水,融安"
广西,桂林,"恭城,荔蒲,平乐,资源,龙胜,灌阳,永福,兴安,全州,灵川,临桂,阳朔,雁山,七星,象山,叠彩,秀峰"
广西,梧州,"岑溪,蒙山,藤县,苍梧,长洲,蝶山,万秀"
广西,北海,"银海,海城,合浦,铁山港"
广西,防城港,"东兴,上思,防城,港口"
广西,钦州,"浦北,灵山,钦北,钦南"
广西,贵港,"桂平,平南,覃塘,港南,港北"
广西,玉林,"北流,兴业,博白,陆川,容县,玉州"
广西,百色,"靖西,德保,平果,田东,田阳,右江,隆林,西林,田林,乐业,凌云,那坡"
广西,贺州,"富川,钟山,昭平,八步"
广西,河池,"宜州,大化,都安,巴马,环江,罗城,东兰,凤山,天峨,南丹,金城江"
广西,来宾,"合山,象州,金秀,忻城,武宣,兴宾"
广西,崇左,"宁明,扶绥,江洲,凭祥,天等,大新,龙州"
四川,成都,"崇州,邛崃,彭州,都江堰,新津,蒲江,大邑,郫县,双流,金堂,温江,新都,青白江,龙泉驿,成华,武侯,金牛,青羊,锦江"
四川,自贡,"富顺,荣县,沿滩,大安,贡井,自流井"
四川,攀枝花,"盐边,米易,仁和"
四川,泸州,"古蔺,叙永,合江,泸县,龙马潭,纳溪,江阳"
四川,德阳,"绵竹,什邡,广汉,罗江,中江,旌阳"
四川,绵阳,"江油,平武,北川,梓潼,安县,盐亭,三台,游仙,涪城"
四川,广元,"苍溪,剑阁,青川,旺苍,朝天,元坝"
四川,遂宁,"大英,射洪,蓬溪,安居,船山"
四川,内江,"隆昌,资中,威远,东兴"
四川,乐山,"峨眉山,马边,峨边,沐川,夹江,井研,犍为,金口河,五通桥,沙湾"
四川,南充,"高坪,阆中,西充,仪陇,蓬安,营山,南部,顺庆,嘉陵"
四川,眉山,"青神,丹棱,洪雅,彭山,仁寿,东坡"
四川,宜宾,"屏山,兴文,筠连,珙县,高县,长宁,江安,南溪,宜宾,翠屏"
四川,广安,"华蓥,邻水,武胜,岳池,广安"
四川,达州,"万源,渠县,大竹,开江,宣汉,达县,通川"
四川,雅安,"宝兴,芦山,天全,石棉,汉源,荥经,名山,雨城"
四川,巴中,"平昌,南江,通江,巴州"
四川,资阳,"简阳,乐至,安岳,雁江"
四川,阿坝,"金川,九寨沟,松潘,茂县,理县,汶川,红原,若尔盖,阿坝,壤塘,马尔康,黑水,小金县"
四川,甘孜,"得荣,稻城,乡城,巴塘,理塘,色达,石渠,白玉,德格,新龙,甘孜,炉霍,道孚,雅江,九龙,丹巴,泸定,康定"
四川,凉山,"宁南,会东,会理,德昌,盐源,木里,西昌,雷波,美姑,甘洛,越西,冕宁,喜德,昭觉,金阳,布拖,普格"
贵州,贵阳,"清镇,修文,息烽,开阳,小河,白云,乌当,花溪,云岩,南明"
贵州,六盘水,"盘县,水城,六枝特,钟山"
贵州,遵义,"正安,绥阳,桐梓,遵义,汇川,红花岗,仁怀,赤水,习水,余庆,湄潭,凤冈,务川,道真"
贵州,安顺,"紫云,关岭,镇宁,普定,平坝,西秀"
贵州,铜仁,"万山,松桃,沿河,德江,印江,思南,石阡,玉屏,江口,铜仁"
贵州,黔西,"册亨,望谟,贞丰,晴隆,普安,兴仁,兴义,安龙"
贵州,毕节,"赫章,威宁,纳雍,织金,金沙,黔西,大方,毕节"
贵州,黔东,"天柱,岑巩,镇远,三穗,施秉,黄平,凯里,丹寨,麻江,雷山,从江,榕江,黎平,台江,剑河,锦屏"
贵州,黔南,"三都,惠水,龙里,长顺,罗甸,平塘,独山,瓮安,贵定,荔波,福泉,都匀"
云南,昆明,"石林,宜良,富民,晋宁,呈贡,东川,西山,官渡,盘龙,五华,安宁,寻甸,禄劝,嵩明"
云南,曲靖,"宣威,沾益,会泽,富源,罗平,师宗,陆良,马龙,麒麟"
云南,玉溪,"元江,新平,峨山,易门,华宁,通海,澄江,江川,红塔"
云南,保山,"昌宁,龙陵,腾冲,施甸,隆阳"
云南,昭通,"昭阳,水富,威信,彝良,镇雄,绥江,永善,大关,盐津,巧家,鲁甸"
云南,丽江,"宁蒗,华坪,永胜,玉龙,古城"
云南,普洱,"西盟,澜沧,孟连,江城,镇沅,景谷,景东,墨江,宁洱,思茅"
云南,临沧,"永德,云县,凤庆,临翔,沧源,耿马,双江,镇康"
云南,楚雄,"禄丰,武定,元谋,永仁,大姚,姚安,南华,牟定,双柏,楚雄"
云南,红河,"河口,绿春,金平,红河,元阳,泸西,弥勒,石屏,建水,屏边,蒙自,开远,个旧"
云南,文山,"马关,麻栗坡,西畴,砚山,文山,富宁,广南,丘北"
云南,西双版纳,"勐腊,勐海,景洪"
云南,大理,"鹤庆,剑川,洱源,云龙,永平,巍山,南涧,弥渡,宾川,祥云,漾濞,大理"
云南,德宏,"陇川,盈江,梁河,潞西,瑞丽"
云南,怒江,"兰坪,贡山,福贡,泸水"
云南,迪庆,"维西,德钦,香格里拉"
西藏,拉萨,"当雄,林周,城关,墨竹工卡,达孜,堆龙德庆,曲水,尼木"
西藏,昌都,"边坝,洛隆,芒康,左贡,八宿,察雅,丁青,类乌齐,贡觉,江达,昌都"
